effctive ddr bandwidth(total if w of other): Sigmoid_234.(Sigmoid)/broadcast_store/ptq_new_st/fusion,687616,49152,589824,40960,7680
ddr bandwidth(total if w of other): Sigmoid_237.(Sigmoid)/broadcast_store/ptq_new_st/fusion,214528,51200,131072,25600,6656
effctive ddr bandwidth(total if w of other): Sigmoid_237.(Sigmoid)/broadcast_store/ptq_new_st/fusion,260608,81920,131072,40960,6656
ddr bandwidth(total if w of other): Sigmoid_241.(Sigmoid)/broadcast_store/ptq_new_st/fusion,375808,51200,262144,51200,11264
effctive ddr bandwidth(total if w of other): Sigmoid_241.(Sigmoid)/broadcast_store/ptq_new_st/fusion,437248,81920,262144,81920,11264
ddr bandwidth(total if w of other): Conv_245(Conv)_store/fusion,289378,51200,130560,102000,5618
effctive ddr bandwidth(total if w of other): Conv_245(Conv)_store/fusion,340512,81920,130560,122400,5632
ddr bandwidth(total if w of other): input_norm_div_store/fusion,921684,307200,0,614400,84
effctive ddr bandwidth(total if w of other): input_norm_div_store/fusion,921760,307200,0,614400,160
ddr bandwidth(total if w of other): Concat_40(Concat)_2CHW_store/fusion,1228800,614400,0,614400,0
effctive ddr bandwidth(total if w of other): Concat_40(Concat)_2CHW_store/fusion,1228800,614400,0,614400,0
ddr bandwidth(total if w of other): Concat_40(Concat)_22CHW_store/fusion,1228800,614400,0,614400,0
effctive ddr bandwidth(total if w of other): Concat_40(Concat)_22CHW_store/fusion,3072000,2457600,0,614400,0
ddr bandwidth(total if w of other): Sigmoid_45.(Sigmoid)/broadcast_store/fusion,1558976,695040,43776,819200,960
effctive ddr bandwidth(total if w of other): Sigmoid_45.(Sigmoid)/broadcast_store/fusion,1558976,695040,43776,819200,960
ddr bandwidth(total if w of other): Sigmoid_48.(Sigmoid)/broadcast_store/fusion,1233216,819200,4096,409600,320
effctive ddr bandwidth(total if w of other): Sigmoid_48.(Sigmoid)/broadcast_store/fusion,1233216,819200,4096,409600,320
ddr bandwidth(total if w of other): Sigmoid_54.(Sigmoid)/broadcast_store/fusion,850560,419840,20480,409600,640
effctive ddr bandwidth(total if w of other): Sigmoid_54.(Sigmoid)/broadcast_store/fusion,850560,419840,20480,409600,640
ddr bandwidth(total if w of other): Add_56(binary_add)/binary_add_0/fusion,1228800,819200,0,409600,0
effctive ddr bandwidth(total if w of other): Add_56(binary_add)/binary_add_0/fusion,1228800,819200,0,409600,0
ddr bandwidth(total if w of other): Sigmoid_58.(Sigmoid)/broadcast_store/fusion,1233216,819200,4096,409600,320
effctive ddr bandwidth(total if w of other): Sigmoid_58.(Sigmoid)/broadcast_store/fusion,1233216,819200,4096,409600,320
ddr bandwidth(total if w of other): Sigmoid_65.(Sigmoid)/broadcast_store/fusion,1427328,860160,155648,409600,1920
effctive ddr bandwidth(total if w of other): Sigmoid_65.(Sigmoid)/broadcast_store/fusion,1427328,860160,155648,409600,1920
ddr bandwidth(total if w of other): Sigmoid_68.(Sigmoid)/broadcast_store/fusion,631424,409600,16384,204800,640
effctive ddr bandwidth(total if w of other): Sigmoid_68.(Sigmoid)/broadcast_store/fusion,631424,409600,16384,204800,640
ddr bandwidth(total if w of other): Sigmoid_74.(Sigmoid)/broadcast_store/fusion,492800,204800,81920,204800,1280
effctive ddr bandwidth(total if w of other): Sigmoid_74.(Sigmoid)/broadcast_store/fusion,492800,204800,81920,204800,1280
ddr bandwidth(total if w of other): Add_76(binary_add)/binary_add_0/fusion,614400,409600,0,204800,0
effctive ddr bandwidth(total if w of other): Add_76(binary_add)/binary_add_0/fusion,614400,409600,0,204800,0
ddr bandwidth(total if w of other): Sigmoid_81.(Sigmoid)/broadcast_store/fusion,492800,204800,81920,204800,1280
effctive ddr bandwidth(total if w of other): Sigmoid_81.(Sigmoid)/broadcast_store/fusion,492800,204800,81920,204800,1280
ddr bandwidth(total if w of other): Add_83(binary_add)/binary_add_0/fusion,614400,409600,0,204800,0
effctive ddr bandwidth(total if w of other): Add_83(binary_add)/binary_add_0/fusion,614400,409600,0,204800,0
ddr bandwidth(total if w of other): Sigmoid_88.(Sigmoid)/broadcast_store/fusion,492800,204800,81920,204800,1280
effctive ddr bandwidth(total if w of other): Sigmoid_88.(Sigmoid)/broadcast_store/fusion,492800,204800,81920,204800,1280
ddr bandwidth(total if w of other): Add_90(binary_add)/binary_add_0/fusion,614400,409600,0,204800,0
effctive ddr bandwidth(total if w of other): Add_90(binary_add)/binary_add_0/fusion,614400,409600,0,204800,0
ddr bandwidth(total if w of other): Sigmoid_92.(Sigmoid)/broadcast_store/fusion,631424,409600,16384,204800,640
effctive ddr bandwidth(total if w of other): Sigmoid_92.(Sigmoid)/broadcast_store/fusion,631424,409600,16384,204800,640
ddr bandwidth(total if w of other): Sigmoid_96.(Sigmoid)/broadcast_store/fusion,853248,409600,32768,409600,1280
effctive ddr bandwidth(total if w of other): Sigmoid_96.(Sigmoid)/broadcast_store/fusion,853248,409600,32768,409600,1280
ddr bandwidth(total if w of other): Sigmoid_99.(Sigmoid)/broadcast_store/fusion,1227264,430080,589824,204800,2560
effctive ddr bandwidth(total if w of other): Sigmoid_99.(Sigmoid)/broadcast_store/fusion,1268224,430080,589824,245760,2560
ddr bandwidth(total if w of other): Sigmoid_102.(Sigmoid)/broadcast_store/fusion,374016,204800,65536,102400,1280
effctive ddr bandwidth(total if w of other): Sigmoid_102.(Sigmoid)/broadcast_store/fusion,435456,245760,65536,122880,1280
ddr bandwidth(total if w of other): Sigmoid_108.(Sigmoid)/broadcast_store/fusion,535040,102400,327680,102400,2560
effctive ddr bandwidth(total if w of other): Sigmoid_108.(Sigmoid)/broadcast_store/fusion,576000,122880,327680,122880,2560
ddr bandwidth(total if w of other): Add_110(binary_add)/binary_add_0/fusion,307200,204800,0,102400,0
effctive ddr bandwidth(total if w of other): Add_110(binary_add)/binary_add_0/fusion,368640,245760,0,122880,0
ddr bandwidth(total if w of other): Sigmoid_115.(Sigmoid)/broadcast_store/fusion,535040,102400,327680,102400,2560
effctive ddr bandwidth(total if w of other): Sigmoid_115.(Sigmoid)/broadcast_store/fusion,576000,122880,327680,122880,2560
ddr bandwidth(total if w of other): Add_117(binary_add)/binary_add_0/fusion,307200,204800,0,102400,0
effctive ddr bandwidth(total if w of other): Add_117(binary_add)/binary_add_0/fusion,368640,245760,0,122880,0
ddr bandwidth(total if w of other): Sigmoid_122.(Sigmoid)/broadcast_store/fusion,535040,102400,327680,102400,2560
effctive ddr bandwidth(total if w of other): Sigmoid_122.(Sigmoid)/broadcast_store/fusion,576000,122880,327680,122880,2560
ddr bandwidth(total if w of other): Add_124(binary_add)/binary_add_0/fusion,307200,204800,0,102400,0
effctive ddr bandwidth(total if w of other): Add_124(binary_add)/binary_add_0/fusion,368640,245760,0,122880,0
ddr bandwidth(total if w of other): Sigmoid_126.(Sigmoid)/broadcast_store/fusion,374016,204800,65536,102400,1280
effctive ddr bandwidth(total if w of other): Sigmoid_126.(Sigmoid)/broadcast_store/fusion,435456,245760,65536,122880,1280
ddr bandwidth(total if w of other): Sigmoid_130.(Sigmoid)/broadcast_store/fusion,543232,204800,131072,204800,2560
effctive ddr bandwidth(total if w of other): Sigmoid_130.(Sigmoid)/broadcast_store/fusion,625152,245760,131072,245760,2560
ddr bandwidth(total if w of other): Sigmoid_133.(Sigmoid)/broadcast_store/fusion,2671616,204800,2359296,102400,5120
effctive ddr bandwidth(total if w of other): Sigmoid_133.(Sigmoid)/broadcast_store/fusion,2774016,245760,2359296,163840,5120
ddr bandwidth(total if w of other): Sigmoid_136.(Sigmoid)/broadcast_store/fusion,418304,102400,262144,51200,2560
effctive ddr bandwidth(total if w of other): Sigmoid_136.(Sigmoid)/broadcast_store/fusion,510464,163840,262144,81920,2560
ddr bandwidth(total if w of other): MaxPool_138.reduce_max(Pool)_store/fusion,102400,51200,0,51200,0
effctive ddr bandwidth(total if w of other): MaxPool_138.reduce_max(Pool)_store/fusion,163840,81920,0,81920,0
ddr bandwidth(total if w of other): MaxPool_139.reduce_max(Pool)_store/fusion,102400,51200,0,51200,0
effctive ddr bandwidth(total if w of other): MaxPool_139.reduce_max(Pool)_store/fusion,163840,81920,0,81920,0
ddr bandwidth(total if w of other): MaxPool_140.reduce_max(Pool)_store/fusion,102400,51200,0,51200,0
effctive ddr bandwidth(total if w of other): MaxPool_140.reduce_max(Pool)_store/fusion,163840,81920,0,81920,0
ddr bandwidth(total if w of other): Sigmoid_143.(Sigmoid)/broadcast_store/fusion,1360896,204800,1048576,102400,5120
effctive ddr bandwidth(total if w of other): Sigmoid_143.(Sigmoid)/broadcast_store/fusion,1545216,327680,1048576,163840,5120
ddr bandwidth(total if w of other): Sigmoid_149.(Sigmoid)/broadcast_store/fusion,551936,102400,393216,51200,5120
effctive ddr bandwidth(total if w of other): Sigmoid_149.(Sigmoid)/broadcast_store/fusion,644096,163840,393216,81920,5120
ddr bandwidth(total if w of other): Sigmoid_152.(Sigmoid)/broadcast_store/fusion,1294848,61440,1179648,51200,2560
effctive ddr bandwidth(total if w of other): Sigmoid_152.(Sigmoid)/broadcast_store/fusion,1362432,98304,1179648,81920,2560
ddr bandwidth(total if w of other): Sigmoid_155.(Sigmoid)/broadcast_store/fusion,418304,102400,262144,51200,2560
effctive ddr bandwidth(total if w of other): Sigmoid_155.(Sigmoid)/broadcast_store/fusion,510464,163840,262144,81920,2560
ddr bandwidth(total if w of other): Sigmoid_159.(Sigmoid)/broadcast_store/fusion,734208,102400,524288,102400,5120
effctive ddr bandwidth(total if w of other): Sigmoid_159.(Sigmoid)/broadcast_store/fusion,857088,163840,524288,163840,5120
ddr bandwidth(total if w of other): Sigmoid_162.(Sigmoid)/broadcast_store/fusion,418304,102400,262144,51200,2560
effctive ddr bandwidth(total if w of other): Sigmoid_162.(Sigmoid)/broadcast_store/fusion,510464,163840,262144,81920,2560
ddr bandwidth(total if w of other): Resize_164(Resize)_store/fusion,256000,51200,0,204800,0
effctive ddr bandwidth(total if w of other): Resize_164(Resize)_store/fusion,327680,81920,0,245760,0
ddr bandwidth(total if w of other): Sigmoid_173.(Sigmoid)/broadcast_store/fusion,1485056,491520,884736,102400,6400
effctive ddr bandwidth(total if w of other): Sigmoid_173.(Sigmoid)/broadcast_store/fusion,1603840,589824,884736,122880,6400
ddr bandwidth(total if w of other): Sigmoid_176.(Sigmoid)/broadcast_store/fusion,644352,409600,131072,102400,1280
effctive ddr bandwidth(total if w of other): Sigmoid_176.(Sigmoid)/broadcast_store/fusion,746752,491520,131072,122880,1280
ddr bandwidth(total if w of other): Sigmoid_183.(Sigmoid)/broadcast_store/fusion,507648,204800,196608,102400,3840
effctive ddr bandwidth(total if w of other): Sigmoid_183.(Sigmoid)/broadcast_store/fusion,569088,245760,196608,122880,3840
ddr bandwidth(total if w of other): Resize_185(Resize)_store/fusion,512000,102400,0,409600,0
effctive ddr bandwidth(total if w of other): Resize_185(Resize)_store/fusion,532480,122880,0,409600,0
ddr bandwidth(total if w of other): Sigmoid_194.(Sigmoid)/broadcast_store/fusion,1371264,942080,221184,204800,3200
effctive ddr bandwidth(total if w of other): Sigmoid_194.(Sigmoid)/broadcast_store/fusion,1371264,942080,221184,204800,3200
ddr bandwidth(total if w of other): Sigmoid_197.(Sigmoid)/broadcast_store/fusion,1057408,819200,32768,204800,640
effctive ddr bandwidth(total if w of other): Sigmoid_197.(Sigmoid)/broadcast_store/fusion,1057408,819200,32768,204800,640
ddr bandwidth(total if w of other): Sigmoid_201.(Sigmoid)/broadcast_store/fusion,853248,409600,32768,409600,1280
effctive ddr bandwidth(total if w of other): Sigmoid_201.(Sigmoid)/broadcast_store/fusion,853248,409600,32768,409600,1280
ddr bandwidth(total if w of other): Conv_243(Conv)_store/fusion,2109430,409600,65280,1632000,2550
effctive ddr bandwidth(total if w of other): Conv_243(Conv)_store/fusion,2109440,409600,65280,1632000,2560
ddr bandwidth(total if w of other): Sigmoid_204.(Sigmoid)/broadcast_store/fusion,818432,419840,294912,102400,1280
effctive ddr bandwidth(total if w of other): Sigmoid_204.(Sigmoid)/broadcast_store/fusion,838912,419840,294912,122880,1280
ddr bandwidth(total if w of other): Sigmoid_214.(Sigmoid)/broadcast_store/fusion,724736,225280,393216,102400,3840
effctive ddr bandwidth(total if w of other): Sigmoid_214.(Sigmoid)/broadcast_store/fusion,790272,270336,393216,122880,3840
ddr bandwidth(total if w of other): Sigmoid_217.(Sigmoid)/broadcast_store/fusion,374016,204800,65536,102400,1280
effctive ddr bandwidth(total if w of other): Sigmoid_217.(Sigmoid)/broadcast_store/fusion,435456,245760,65536,122880,1280
ddr bandwidth(total if w of other): Sigmoid_221.(Sigmoid)/broadcast_store/fusion,543232,204800,131072,204800,2560
effctive ddr bandwidth(total if w of other): Sigmoid_221.(Sigmoid)/broadcast_store/fusion,625152,245760,131072,245760,2560
ddr bandwidth(total if w of other): Conv_244(Conv)_store/fusion,745910,204800,130560,408000,2550
effctive ddr bandwidth(total if w of other): Conv_244(Conv)_store/fusion,786880,245760,130560,408000,2560
ddr bandwidth(total if w of other): Sigmoid_224.(Sigmoid)/broadcast_store/fusion,1468928,235520,1179648,51200,2560
effctive ddr bandwidth(total if w of other): Sigmoid_224.(Sigmoid)/broadcast_store/fusion,1546752,282624,1179648,81920,2560
ddr bandwidth(total if w of other): Sigmoid_231.(Sigmoid)/broadcast_store/fusion,551936,102400,393216,51200,5120
